2025-07-26 15:52:56 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
2025-07-26 15:52:56 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
2025-07-26 15:52:56 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
2025-07-26 15:52:56 | download_manager | INFO | Analyse des résultats de theoryofword
2025-07-26 15:52:57 | download_manager | ERROR | Erreur lors de l'accès au dossier de theoryofword: list indices must be integers or slices, not str
2025-07-26 15:52:57 | download_manager | ERROR | Erreur lors de l'accès au dossier de theoryofword: list indices must be integers or slices, not str
2025-07-26 15:52:57 | download_manager | WARNING | Aucune correspondance trouvée pour Changeline THIS MAY BE BASED ON A TRUE STORY (idk)
2025-07-26 15:52:57 | download_manager | WARNING | Échec du téléchargement pour THIS MAY BE BASED ON A TRUE STORY (idk)
2025-07-26 15:52:57 | download_manager | INFO | Vérification de 0 téléchargements en cours
2025-07-26 16:00:40 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 16:01:26 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 16:01:59 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 16:01:59 | download_manager | INFO | Nombre d'albums en attente: 1
2025-07-26 16:01:59 | download_manager | INFO | Traitement de l'album: teardrops.on.a.book.page de Changeline
2025-07-26 16:01:59 | download_manager | INFO | Démarrage de la recherche pour: Changeline teardrops.on.a.book.page
2025-07-26 16:02:06 | download_manager | INFO | Analyse des résultats de thisdogissomessedup
2025-07-26 16:02:07 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:02:07 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:02:07 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:02:07 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:02:07 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
